lat,long,tbs-pasto,ur-pasto,tpo-pasto,tbs-sombra,ur-sombra,tpo-sombra,posicao,local,classe
-8.61945,-36.61334,26720,50309,15870,27924,46579,15447,1,0,1
-8.61937,-36.61322,26720,50309,15870,27924,46579,15447,1,0,2
-8.61962,-36.61294,25841,50481,15113,26573,49264,15087,1,0,1
-8.61958,-36.61295,24895,55873,15785,25113,53805,15115,1,0,1
-8.61967,-36.61304,24895,55873,15785,25113,53805,15115,1,0,1
-8.61976,-36.61325,23954,57631,15374,23833,55845,14504,0,0,0
-8.61971,-36.61323,23497,59321,15380,23208,60879,15260,0,0,0
-8.61961,-36.61315,23497,59321,15380,23208,60879,15260,1,0,2
-8.61957,-36.61303,23112,63925,16141,22800,63610,15560,1,0,2
-8.61959,-36.61298,22657,66135,16216,22226,68777,16237,1,0,2
-8.61957,-36.61298,22657,66135,16216,22226,68777,16237,1,0,2
-8.6197,-36.61331,22106,69134,16349,21700,72875,16643,1,0,1
-8.61948,-36.6134,21581,70423,16118,21032,75331,16521,1,0,1
-8.61937,-36.61321,21581,70423,16118,21032,75331,16521,1,0,1
-8.61951,-36.61314,21151,71252,15877,20627,77279,16531,1,0,1
-8.61954,-36.61319,21103,72964,16180,20365,79168,16657,1,0,2
-8.61952,-36.61332,21103,72964,16180,20365,79168,16657,1,0,2
-8.61945,-36.61321,20722,72686,15756,20293,78002,16353,1,0,2
-8.61959,-36.61314,20174,73826,15453,19793,79255,16118,1,0,2
-8.6196,-36.61323,20174,73826,15453,19793,79255,16118,1,0,2
-8.6199,-36.61334,19817,74418,15224,19413,80155,15925,1,0,2
-8.61964,-36.61316,19603,74951,15119,19151,80663,15768,1,0,1
-8.61958,-36.61314,19603,74951,15119,19151,80663,15768,1,0,2
-8.61938,-36.61314,19389,75595,15036,18985,80780,15629,1,0,2
-8.6193,-36.61317,19175,76066,14917,18771,81395,15538,1,0,2
-8.61946,-36.61331,19175,76066,14917,18771,81395,15538,1,0,1
-8.61953,-36.61325,19008,76716,14878,18533,82653,15546,1,0,1
-8.6196,-36.61321,18913,77888,15003,18390,83816,15624,1,0,1
-8.61969,-36.61312,18913,77888,15003,18390,83816,15624,1,0,1
-8.61964,-36.61314,18723,78526,14935,18247,84475,15607,1,0,2
-8.61956,-36.61303,18533,78458,14737,18010,85326,15530,1,0,1
-8.61966,-36.61312,18533,78458,14737,18010,85326,15530,1,0,1
-8.61966,-36.61312,18390,79075,14710,17819,85937,15455,1,0,1
-8.61966,-36.61312,18271,79695,14705,17701,86489,15438,1,0,1
-8.61966,-36.61312,18271,79695,14705,17701,86489,15438,1,0,1
-8.61966,-36.61312,18129,79973,14615,17605,86802,15400,0,0,1
-8.61959,-36.61312,18105,80499,14685,17510,87162,15371,0,0,0
-8.61959,-36.61312,18105,80499,14685,17510,87162,15371,0,0,0
-8.61959,-36.61312,18057,80684,14671,17510,87019,15346,0,0,0
-8.61959,-36.61312,18033,81013,14705,17534,86977,15362,0,0,0
-8.61959,-36.61312,18033,81013,14705,17534,86977,15362,0,0,0
-8.61959,-36.61312,18033,81236,14744,17510,87639,15456,0,0,0
-8.61959,-36.61312,18033,81431,14778,17558,87888,15548,0,0,0
-8.61959,-36.61312,18033,81431,14778,17558,87888,15548,0,0,0
